run,tag,step,value
test/PR/Car,test/PR,33,0.48936396837234497
test/PR/Car,test/PR,65,0.48622196912765503
test/PR/Car,test/PR,97,0.46187159419059753
test/PR/Car,test/PR,129,0.5317807197570801
test/PR/Car,test/PR,161,0.5930494070053101
test/PR/Car,test/PR,193,0.48072350025177
test/PR/Car,test/PR,225,0.4343792498111725
test/PR/Car,test/PR,257,0.5050739049911499
test/PR/Car,test/PR,289,0.5427776575088501
test/PR/Car,test/PR,321,0.5702700614929199
test/PR/Car,test/PR,353,0.5286387801170349
test/PR/Car,test/PR,385,0.5105723738670349
test/PR/Car,test/PR,417,0.4705120623111725
test/PR/Car,test/PR,449,0.48072350025177
test/PR/Cyclist,test/PR,33,0.24964489042758942
test/PR/Cyclist,test/PR,65,0.2890625
test/PR/Cyclist,test/PR,97,0.40731534361839294
test/PR/Cyclist,test/PR,129,0.2365056872367859
test/PR/Cyclist,test/PR,161,0.35475853085517883
test/PR/Cyclist,test/PR,193,0.21022726595401764
test/PR/Cyclist,test/PR,225,0.40731534361839294
test/PR/Cyclist,test/PR,257,0.3416193127632141
test/PR/Cyclist,test/PR,289,0.43359375
test/PR/Cyclist,test/PR,321,0.31534090638160706
test/PR/Cyclist,test/PR,353,0.24964489042758942
test/PR/Cyclist,test/PR,385,0.3284801244735718
test/PR/Cyclist,test/PR,417,0.4204545319080353
test/PR/Cyclist,test/PR,449,0.36789771914482117
test/PR/Pedestrian,test/PR,33,0.27099609375
test/PR/Pedestrian,test/PR,65,0.4215494692325592
test/PR/Pedestrian,test/PR,97,0.3854166567325592
test/PR/Pedestrian,test/PR,129,0.2890625
test/PR/Pedestrian,test/PR,161,0.3854166567325592
test/PR/Pedestrian,test/PR,193,0.5901692509651184
test/PR/Pedestrian,test/PR,225,0.4697265625
test/PR/Pedestrian,test/PR,257,0.43359375
test/PR/Pedestrian,test/PR,289,0.2890625
test/PR/Pedestrian,test/PR,321,0.41552734375
test/PR/Pedestrian,test/PR,353,0.4215494692325592
test/PR/Pedestrian,test/PR,385,0.4275716245174408
test/PR/Pedestrian,test/PR,417,0.5841471552848816
test/PR/Pedestrian,test/PR,449,0.3191731870174408
test/fns_per_sample/Car,test/fns_per_sample,33,3.40625
test/fns_per_sample/Car,test/fns_per_sample,65,3.5390625
test/fns_per_sample/Car,test/fns_per_sample,97,3.69921875
test/fns_per_sample/Car,test/fns_per_sample,129,3.9296875
test/fns_per_sample/Car,test/fns_per_sample,161,4.03125
test/fns_per_sample/Car,test/fns_per_sample,193,3.69921875
test/fns_per_sample/Car,test/fns_per_sample,225,3.48828125
test/fns_per_sample/Car,test/fns_per_sample,257,3.7578125
test/fns_per_sample/Car,test/fns_per_sample,289,4.0390625
test/fns_per_sample/Car,test/fns_per_sample,321,4.19921875
test/fns_per_sample/Car,test/fns_per_sample,353,3.98828125
test/fns_per_sample/Car,test/fns_per_sample,385,3.79296875
test/fns_per_sample/Car,test/fns_per_sample,417,3.62109375
test/fns_per_sample/Car,test/fns_per_sample,449,3.78515625
test/fns_per_sample/Cyclist,test/fns_per_sample,33,0.25390625
test/fns_per_sample/Cyclist,test/fns_per_sample,65,0.1953125
test/fns_per_sample/Cyclist,test/fns_per_sample,97,0.2578125
test/fns_per_sample/Cyclist,test/fns_per_sample,129,0.20703125
test/fns_per_sample/Cyclist,test/fns_per_sample,161,0.2421875
test/fns_per_sample/Cyclist,test/fns_per_sample,193,0.1796875
test/fns_per_sample/Cyclist,test/fns_per_sample,225,0.23828125
test/fns_per_sample/Cyclist,test/fns_per_sample,257,0.25
test/fns_per_sample/Cyclist,test/fns_per_sample,289,0.26171875
test/fns_per_sample/Cyclist,test/fns_per_sample,321,0.25
test/fns_per_sample/Cyclist,test/fns_per_sample,353,0.2265625
test/fns_per_sample/Cyclist,test/fns_per_sample,385,0.22265625
test/fns_per_sample/Cyclist,test/fns_per_sample,417,0.25
test/fns_per_sample/Cyclist,test/fns_per_sample,449,0.234375
test/fns_per_sample/Pedestrian,test/fns_per_sample,33,0.55078125
test/fns_per_sample/Pedestrian,test/fns_per_sample,65,0.7421875
test/fns_per_sample/Pedestrian,test/fns_per_sample,97,0.48046875
test/fns_per_sample/Pedestrian,test/fns_per_sample,129,0.359375
test/fns_per_sample/Pedestrian,test/fns_per_sample,161,0.58203125
test/fns_per_sample/Pedestrian,test/fns_per_sample,193,0.86328125
test/fns_per_sample/Pedestrian,test/fns_per_sample,225,0.67578125
test/fns_per_sample/Pedestrian,test/fns_per_sample,257,0.56640625
test/fns_per_sample/Pedestrian,test/fns_per_sample,289,0.53515625
test/fns_per_sample/Pedestrian,test/fns_per_sample,321,0.7109375
test/fns_per_sample/Pedestrian,test/fns_per_sample,353,0.60546875
test/fns_per_sample/Pedestrian,test/fns_per_sample,385,0.59375
test/fns_per_sample/Pedestrian,test/fns_per_sample,417,0.6796875
test/fns_per_sample/Pedestrian,test/fns_per_sample,449,0.53515625
test/fps_per_sample/Car,test/fps_per_sample,33,9.984375
test/fps_per_sample/Car,test/fps_per_sample,65,11.41796875
test/fps_per_sample/Car,test/fps_per_sample,97,9.6015625
test/fps_per_sample/Car,test/fps_per_sample,129,7.23046875
test/fps_per_sample/Car,test/fps_per_sample,161,7.48046875
test/fps_per_sample/Car,test/fps_per_sample,193,7.37890625
test/fps_per_sample/Car,test/fps_per_sample,225,6.69140625
test/fps_per_sample/Car,test/fps_per_sample,257,6.74609375
test/fps_per_sample/Car,test/fps_per_sample,289,11.0
test/fps_per_sample/Car,test/fps_per_sample,321,13.60546875
test/fps_per_sample/Car,test/fps_per_sample,353,14.3359375
test/fps_per_sample/Car,test/fps_per_sample,385,12.109375
test/fps_per_sample/Car,test/fps_per_sample,417,9.4296875
test/fps_per_sample/Car,test/fps_per_sample,449,9.515625
test/fps_per_sample/Cyclist,test/fps_per_sample,33,0.296875
test/fps_per_sample/Cyclist,test/fps_per_sample,65,0.0546875
test/fps_per_sample/Cyclist,test/fps_per_sample,97,0.34375
test/fps_per_sample/Cyclist,test/fps_per_sample,129,0.1953125
test/fps_per_sample/Cyclist,test/fps_per_sample,161,0.0859375
test/fps_per_sample/Cyclist,test/fps_per_sample,193,0.05859375
test/fps_per_sample/Cyclist,test/fps_per_sample,225,0.10546875
test/fps_per_sample/Cyclist,test/fps_per_sample,257,0.1953125
test/fps_per_sample/Cyclist,test/fps_per_sample,289,0.140625
test/fps_per_sample/Cyclist,test/fps_per_sample,321,0.16796875
test/fps_per_sample/Cyclist,test/fps_per_sample,353,0.0546875
test/fps_per_sample/Cyclist,test/fps_per_sample,385,0.1796875
test/fps_per_sample/Cyclist,test/fps_per_sample,417,0.16015625
test/fps_per_sample/Cyclist,test/fps_per_sample,449,0.46875
test/fps_per_sample/Pedestrian,test/fps_per_sample,33,1.79296875
test/fps_per_sample/Pedestrian,test/fps_per_sample,65,2.53125
test/fps_per_sample/Pedestrian,test/fps_per_sample,97,3.17578125
test/fps_per_sample/Pedestrian,test/fps_per_sample,129,3.64453125
test/fps_per_sample/Pedestrian,test/fps_per_sample,161,2.0234375
test/fps_per_sample/Pedestrian,test/fps_per_sample,193,5.78515625
test/fps_per_sample/Pedestrian,test/fps_per_sample,225,3.66796875
test/fps_per_sample/Pedestrian,test/fps_per_sample,257,5.83203125
test/fps_per_sample/Pedestrian,test/fps_per_sample,289,8.18359375
test/fps_per_sample/Pedestrian,test/fps_per_sample,321,2.15234375
test/fps_per_sample/Pedestrian,test/fps_per_sample,353,3.76953125
test/fps_per_sample/Pedestrian,test/fps_per_sample,385,2.4765625
test/fps_per_sample/Pedestrian,test/fps_per_sample,417,3.046875
test/fps_per_sample/Pedestrian,test/fps_per_sample,449,3.6171875
test/mAP_3d/Car,test/mAP_3d,33,89.50843048095703
test/mAP_3d/Car,test/mAP_3d,65,87.92124938964844
test/mAP_3d/Car,test/mAP_3d,97,81.1533432006836
test/mAP_3d/Car,test/mAP_3d,129,86.05168151855469
test/mAP_3d/Car,test/mAP_3d,161,88.52318572998047
test/mAP_3d/Car,test/mAP_3d,193,88.404296875
test/mAP_3d/Car,test/mAP_3d,225,84.76678466796875
test/mAP_3d/Car,test/mAP_3d,257,91.03479766845703
test/mAP_3d/Car,test/mAP_3d,289,90.23368072509766
